Source,Target,Weight,edge_type,edge_multiplicity
53,60,1,same-persona,1
53,61,1,same-persona,1
53,62,1,same-persona,1
49,54,1,same-persona,1
49,55,1,same-persona,1
49,56,1,same-persona,1
49,57,1,same-persona,1
49,58,1,same-persona,1
49,59,1,same-persona,1
49,60,1,same-persona,1
49,61,1,same-persona,1
49,62,1,same-persona,1
54,55,1,same-persona,1
54,56,1,same-persona,1
54,57,1,same-persona,1
54,58,1,same-persona,1
54,59,1,same-persona,1
54,60,1,same-persona,1
54,61,1,same-persona,1
54,62,1,same-persona,1
55,56,1,same-persona,1
55,57,1,same-persona,1
55,58,1,same-persona,1
55,59,1,same-persona,1
55,60,1,same-persona,1
55,61,1,same-persona,1
55,62,1,same-persona,1
56,57,1,same-persona,1
56,58,1,same-persona,1
56,59,1,same-persona,1
56,60,1,same-persona,1
56,61,1,same-persona,1
56,62,1,same-persona,1
57,58,1,same-persona,1
57,59,1,same-persona,1
57,60,1,same-persona,1
57,61,1,same-persona,1
57,62,1,same-persona,1
58,59,1,same-persona,1
58,60,1,same-persona,1
58,61,1,same-persona,1
58,62,1,same-persona,1
59,60,1,same-persona,1
59,61,1,same-persona,1
59,62,1,same-persona,1
60,61,1,same-persona,1
60,62,1,same-persona,1
61,62,1,same-persona,1
63,64,1,persona-attribute,1
63,65,1,persona-attribute,1
63,66,1,persona-attribute,1
63,67,1,persona-attribute,1
63,49,1,persona-attribute,1
63,68,1,persona-attribute,1
63,69,1,persona-attribute,1
63,70,1,persona-attribute,1
63,71,1,persona-attribute,1
63,72,1,persona-attribute,1
63,73,1,persona-attribute,1
63,74,1,persona-attribute,1
63,75,1,persona-attribute,1
63,76,1,persona-attribute,1
64,65,1,same-persona,1
64,66,1,same-persona,1
64,67,1,same-persona,1
64,49,1,same-persona,1
64,68,1,same-persona,1
64,69,1,same-persona,1
64,70,1,same-persona,1
64,71,1,same-persona,1
64,72,1,same-persona,1
64,73,1,same-persona,1
64,74,1,same-persona,1
64,75,1,same-persona,1
64,76,1,same-persona,1
65,66,1,same-persona,1
65,67,1,same-persona,1
65,49,1,same-persona,1
65,68,1,same-persona,1
